terms,label,EuropaCode
"hammering, nailing and riveting",shape clay,S6.7
"hammering, nailing and riveting",shape sheet metal objects,S6.7
"hammering, nailing and riveting",smooth burred surfaces,S6.7
"hammering, nailing and riveting",use jewellery equipment,S6.7
"hammering, nailing and riveting",use watchmaker's tools,S6.7
"hammering, nailing and riveting",use wood chisel,S6.7
handling and moving,"sorting, arranging, moving, transforming, fabricating and cleaning goods and materials by hand or using handheld tools and equipment",S6.7
handling and moving,"tending plants, crops and animals",S6.0
identify problems,detect problems,S6.0
identify problems,diagnose problems,T2.3
identify problems,signal problems,T2.3
identify problems,identify problems,T2.3
implementing new procedures or processes,developing solutions,T2.3
implementing new procedures or processes,solving problems,S1.9
implementing new procedures or processes,apply crisis intervention,S1.9
implementing new procedures or processes,create solutions to problems,S1.9
implementing new procedures or processes,identify improvement actions,S1.9
implementing new procedures or processes,implement transport strategy,S1.9
implementing new procedures or processes,implementing new procedures or processes,S1.9
implementing new procedures or processes,troubleshoot,S1.9
improvise,demonstrate ability to improvise,S1.9
improvise,show talent for improvisation,T2.4
improvise,improvise,T2.4
information skills,"collecting, storing, monitoring, and using information",T2.4
information skills,"conducting studies, investigations and tests",S2.0
information skills,maintaining records,S2.0
information skills,"managing, evaluating, processing, analysing and monitoring information and projecting outcomes.",S2.0
inspecting food safety and quality,monitoring environmental conditions,S2.0
inspecting food safety and quality,monitoring financial and economic resources and activity,S2.8
inspecting food safety and quality,monitoring health conditions of humans and animals,S2.8
inspecting food safety and quality,monitoring operational activities,S2.8
inspecting food safety and quality,monitoring quality of products,S2.8
inspecting food safety and quality,monitoring safety or security,S2.8
inspecting food safety and quality,"monitoring, inspecting and testing",S2.8
inspecting food safety and quality,testing and analysing substances,S2.8
inspecting food safety and quality,testing electrical and mechanical systems or equipment,S2.8
inspecting food safety and quality,testing vehicles,S2.8
inspecting food safety and quality,analyse body fluids,S2.8
inspecting food safety and quality,assess harvesting impact on wildlife,S2.8
inspecting food safety and quality,check paper quality,S2.8
inspecting food safety and quality,conduct on board safety inspections,S2.8
inspecting food safety and quality,conduct soil sample tests,S2.8
inspecting food safety and quality,detect bottlenecks,S2.8
inspecting food safety and quality,inspect material,S2.8
inspecting food safety and quality,inspect mine safety conditions,S2.8
inspecting food safety and quality,inspecting food safety and quality,S2.8
inspecting food safety and quality,manage project metrics,S2.8
inspecting food safety and quality,monitor bond markets,S2.8
inspecting food safety and quality,monitor building security,S2.8
inspecting food safety and quality,monitor financial accounts,S2.8
inspecting food safety and quality,monitor fish health status,S2.8
inspecting food safety and quality,monitor forest health,S2.8
inspecting food safety and quality,monitor mine production,S2.8
inspecting food safety and quality,monitor parking areas to maintain security,S2.8
inspecting food safety and quality,monitor patient's health condition,S2.8
inspecting food safety and quality,monitor pregnancy,S2.8
inspecting food safety and quality,monitor production costs,S2.8
inspecting food safety and quality,monitor radiation levels,S2.8
inspecting food safety and quality,perform test run,S2.8
inspecting food safety and quality,test alkalinity,S2.8
inspecting food safety and quality,test oxygen purity,S2.8
installing and assembling rigging equipment,building and repairing structures,S2.8
installing and assembling rigging equipment,installing and assembling building fixtures,S7.1
installing and assembling rigging equipment,installing concrete components,S7.1
installing and assembling rigging equipment,installing roofing,S7.1
installing and assembling rigging equipment,installing structural masonry materials,S7.1
installing and assembling rigging equipment,installing wooden and metal components,S7.1
installing and assembling rigging equipment,"joining parts using soldering, welding or brazing techniques",S7.1
installing and assembling rigging equipment,apply arc welding techniques,S7.1
installing and assembling rigging equipment,assemble circus rigging equipment,S7.1
installing and assembling rigging equipment,assemble truss constructions,S7.1
installing and assembling rigging equipment,attach roofing cover,S7.1
installing and assembling rigging equipment,hang chain hoists,S7.1
installing and assembling rigging equipment,install crane equipment,S7.1
installing and assembling rigging equipment,install drop ceilings,S7.1
installing and assembling rigging equipment,install gutters,S7.1
installing and assembling rigging equipment,install handrail,S7.1
installing and assembling rigging equipment,install metal roofing,S7.1
installing and assembling rigging equipment,installing and assembling rigging equipment,S7.1
installing and assembling rigging equipment,operate brazing equipment,S7.1
installing and assembling rigging equipment,place concrete forms,S7.1
installing and assembling rigging equipment,place drywall,S7.1
installing and assembling rigging equipment,pour concrete,S7.1
installing and assembling rigging equipment,reinforce concrete,S7.1
installing and assembling rigging equipment,settle concrete,S7.1
installing and assembling rigging equipment,solder components onto electronic board,S7.1
installing and assembling rigging equipment,weld underwater,S7.1
installing floor and wall coverings,applying material to fill gaps in surfaces,S7.1
installing floor and wall coverings,applying protective or decorative solutions or coatings,S7.3
installing floor and wall coverings,appyling textured or masonry coatings,S7.3
installing floor and wall coverings,finishing interior or exterior of structures,S7.3
installing floor and wall coverings,craft ornamental plastering,S7.3
installing floor and wall coverings,fill nail holes in wood planks,S7.3
installing floor and wall coverings,grout terrazzo,S7.3
installing floor and wall coverings,hang wallpaper,S7.3
installing floor and wall coverings,install insulation blocks,S7.3
installing floor and wall coverings,installing floor and wall coverings,S7.3
installing floor and wall coverings,lay marquetry,S7.3
installing floor and wall coverings,lay resilient flooring tiles,S7.3
installing floor and wall coverings,paint surfaces,S7.3
installing floor and wall coverings,plaster surfaces,S7.3
installing floor and wall coverings,pour terrazzo,S7.3
installing insulation materials,"installing heating, ventilation and air conditioning equipment",S7.3
installing insulation materials,installing interior or exterior infrastructure,S7.2
installing insulation materials,installing plumbing or piping equipment or systems,S7.2
installing insulation materials,apply spray foam insulation,S7.2
installing insulation materials,install fire sprinklers,S7.2
installing insulation materials,install heat pump,S7.2
installing insulation materials,"install heating, ventilation, air conditioning and refrigeration ducts",S7.2
installing insulation materials,install insulation blocks,S7.2
installing insulation materials,install metal gas piping,S7.3
installing insulation materials,installing insulation materials,S7.2
installing insulation materials,repair plumbing systems,S7.2
installing insulation materials,repair ventilation equipment,S7.2
instruct others,educate others,S7.2
instruct others,instruct colleagues,T4.2
instruct others,instructing others,T4.2
instruct others,teach others,T4.2
instruct others,train others,T4.2
instruct others,tutoring,T4.2
instruct others,instruct others,T4.2
interpret mathematical information,apply mathematical reasoning,T4.2
interpret mathematical information,apply numeracy skills,T1.2
interpret mathematical information,apply numerical reasoning,T1.2
interpret mathematical information,data science,T1.2
interpret mathematical information,demonstrate an understanding of numbers,T1.2
interpret mathematical information,enjoy working with numbers,T1.2
interpret mathematical information,interpret mathematical information,T1.2
interpret mathematical information,data analysis,T1.2
keep an open mind,being open minded,T1.2
keep an open mind,demonstrate freedom from prejudice,T3.4
keep an open mind,show acceptance of others,T3.4
keep an open mind,take on new ideas and experiences,T3.4
keep an open mind,keep an open mind,T3.4
lead others,direct others,T3.4
lead others,exert a goal-oriented leadership role,T4.4
lead others,exert a goal-oriented leadership role towards colleagues,T4.4
lead others,exert a leadership role towards colleagues,T4.4
lead others,exert a result-oriented leadership role,T4.4
lead others,exert a result-oriented leadership role towards colleagues,T4.4
lead others,exert result-oriented leadership,T4.4
lead others,give direction,T4.4
lead others,guide others,T4.4
lead others,lead,T4.4
lead others,lead colleagues,T4.4
lead others,lead others,T4.4
lead others,leading others,T4.4
lead others,make use of goal-driven leadership abilities,T4.4
lead others,make use of leadership abilities for team coordination,T4.4
lead others,make use of result-oriented leadership abilities,T4.4
lead others,manage people,T4.4
lead others,show an exemplary leading role in an organisation,T4.4
lead others,show leadership attitude,T4.4
lead others,supervise others,T4.4
lead others,take on a leadership role,T4.4
leading and motivating,motivate employees,T4.4
leading and motivating,"reinforcing an organization's vision, inspiring and enthusing others to achieve positive outcomes.",S4.5
leading and motivating,lead board meetings,S4.5
leading and motivating,leading and motivating,S4.5
leading and motivating,provide leadership,S4.5
listening and asking questions,engaging with others to identify needs,S4.5
listening and asking questions,interviewing,S1.7
listening and asking questions,obtaining information verbally,S1.7
listening and asking questions,adhere to questionnaires,S1.7
listening and asking questions,identify customer objectives,S1.7
listening and asking questions,interact with users to gather requirements,S1.7
listening and asking questions,interrogate individuals,S1.7
listening and asking questions,interview insurance claimants,S1.7
listening and asking questions,listen actively,S1.7
listening and asking questions,listening and asking questions,S1.7
listening and asking questions,use questioning techniques,S1.7
maintain concentration for long periods,focus for prolonged periods,S1.7
maintain concentration for long periods,keep concentration for long periods,T3.1
maintain concentration for long periods,keep focused for extended periods,T3.1
maintain concentration for long periods,maintain concentration for extended periods,T3.1
maintain concentration for long periods,maintain focus for long periods of time,T3.1
maintain concentration for long periods,preserve concentration for long periods,T3.1
maintain concentration for long periods,stay concentrated for long periods,T3.1
maintain concentration for long periods,stay focused for extended periods of time,T3.1
maintain concentration for long periods,work in a focused manner,T3.1
maintain concentration for long periods,maintain concentration for long periods,T3.1
maintain physical fitness,adopt an healthy lifestyle,T3.1
maintain physical fitness,apply preventive healthy behaviours,T6.1
maintain physical fitness,care about your fitness,T6.1
maintain physical fitness,keep yourself in good conditions,T6.1
maintain physical fitness,maintain physical fitness,T6.1
maintain psychological well-being,balance working time and personal life,T6.1
maintain psychological well-being,maintain work-life balance,T6.1
maintain psychological well-being,protect the psychological wellbeing,T6.1
maintain psychological well-being,pursue mental wellbeing,T6.1
maintain psychological well-being,safely use digital technologies,T6.1
maintain psychological well-being,maintain psychological well-being,T6.1
"maintaining electrical, electronic and precision equipment",adjust voltage,T6.1
"maintaining electrical, electronic and precision equipment",configure electronic equipment,S8.8
"maintaining electrical, electronic and precision equipment",install electric switches,S8.8
"maintaining electrical, electronic and precision equipment",install low voltage wiring,S8.8
"maintaining electrical, electronic and precision equipment","installing and repairing electrical, electronic and precision equipment",S8.8
"maintaining electrical, electronic and precision equipment","installing, maintaining and repairing electrical, electronic and precision equipment",S8.8
"maintaining electrical, electronic and precision equipment",maintain automated lighting equipment,S8.8
"maintaining electrical, electronic and precision equipment",maintain medical devices,S8.8
"maintaining electrical, electronic and precision equipment","maintaining electrical, electronic and precision equipment",S8.8
"maintaining electrical, electronic and precision equipment",repair household appliances,S8.8
"maintaining electrical, electronic and precision equipment",repair vehicle electrical systems,S8.8
maintaining mechanical machinery,install mining machinery,S8.8
maintaining mechanical machinery,"installing, maintaining and repairing mechanical equipment",S8.7
maintaining mechanical machinery,maintain farm equipment,S8.7
maintaining mechanical machinery,maintaining mechanical equipment and tools,S8.7
maintaining mechanical machinery,maintaining mechanical machinery,S8.7
maintaining mechanical machinery,prevent pipeline deterioration,S8.7
maintaining mechanical machinery,repair engines,S8.7
maintaining mechanical machinery,repair vessel mechanical systems,S8.7
maintaining mechanical machinery,repairing and installing mechanical equipment,S8.7
make an informed use of the health-care system,apply preventive care measures to avoid physical or psychological harm,S8.7
make an informed use of the health-care system,find the right healthcare service,T6.1
make an informed use of the health-care system,manage appropriate medications,T6.1
make an informed use of the health-care system,make an informed use of the health-care system,T6.1
make decisions,choose,T6.1
make decisions,decide,T3.2
make decisions,make choices,T3.2
make decisions,make decision,T3.2
make decisions,making decisions,T3.2
make decisions,take decisions,T3.2
make decisions,make decisions,T3.2
making decisions,decide on loan applications,T3.2
making decisions,making a choice from several alternative possibilities.,S4.9
making decisions,decide on products to be stocked,S4.9
making decisions,make legal decisions,S4.9
making decisions,making decisions,S4.9
making models,"making moulds, casts, models and patterns",T3.2
making models,making patterns and templates,S6.6
making models,making production moulds and casts,S6.6
making models,ups,S6.6
making models,build jewellery models,S6.6
making models,cast jewellery metal,S6.6
making models,create floor plan template,S6.6
making models,create patterns for garments,S6.6
making models,create set models,S6.6
making models,make architectural mock,S6.6
making models,making models,S6.6
making models,modify casts for prostheses,S6.6
making models,mould chocolate,S6.6
making models,prevent casting adhesion,S6.6
manage chronic health conditions,seek for appropriate care,S6.6
manage chronic health conditions,utilise hearing aids,T6.1
manage chronic health conditions,utilise seeing aids,T6.1
manage chronic health conditions,utilise walking aids,T6.1
manage chronic health conditions,manage chronic health conditions,T6.1
manage digital identity,application security,T6.1
manage financial and material resources,exercise consumer rights,T6.5
manage financial and material resources,manage personal budget for financial needs,T6.5
manage financial and material resources,manage personal finances,T6.5
manage financial and material resources,select appropriate insurance products,T6.5
manage financial and material resources,undertake effective financial planning,T6.5
manage financial and material resources,use financial advices and guidance services with a critical mindset,T6.5
manage financial and material resources,use investments and credit to achieve long term goals,T6.5
manage financial and material resources,manage financial resources,T6.5
manage frustration,control impulses,T6.5
manage frustration,cope well with setbacks,T3.3
manage frustration,cope with frustration,T3.3
manage frustration,deal with frustration,T3.3
manage frustration,foster hope,T3.3
manage frustration,handle frustration,T3.3
manage frustration,manage disappointments,T3.3
manage frustration,manage emotions,T3.3
manage frustration,manage own emotions,T3.3
manage frustration,managing frustration,T3.3
manage frustration,recognise own potential,T3.3
manage frustration,recover from setbacks,T3.3
manage frustration,regulate moods,T3.3
manage frustration,show capacity to deal with stress,T3.3
manage frustration,manage frustration,T3.3
manage personal progression,manage career goals,T3.3
manage personal progression,manage life goals,T3.2
manage personal progression,market yourself,T3.2
manage personal progression,plan your career,T3.2
manage personal progression,manage personal progression,T3.2
manage quality,apply quality standards,T3.2
manage quality,attend to quality,T3.1
manage quality,manage quality,T3.1
manage quality,managing quality,T3.1
manage quality,monitor quality,T3.1
manage quality,oversee quality,T3.1
manage quality,work to agreed standards,T3.1
manage quality,quality control,T3.1
manage time,adhere to schedules,T3.1
manage time,coordinate actions,T3.1
manage time,define milestones,T3.1
manage time,draw up time line,T3.1
manage time,manage schedule,T3.1
manage time,manage time,T3.1
manage time,managing time,T3.1
manage time,meet deadlines,T3.1
manage time,plan deadlines,T3.1
manage time,plan time,T3.1
manage time,prioritise actions,T3.1
manage time,prioritise tasks,T3.1
manage time,schedule,T3.1
manage time,set priorities,T3.1
manage time,work out time line,T3.1
manage time,time management,T3.1
management skills,"developing objectives and strategies, organising work activities, allocating and controlling resources and leading, motivating, recruiting and supervising people and teams",T3.1
management skills,"managing people, activities, resources, and organisation",S4.0
management skills,management skills,S4.0
managing information,manage digital archives,S4.0
managing information,organise information,S2.3
managing information,oversee record management,S2.3
managing information,"setting up and managing manual or electronic systems for storing , selecting, organizing, retrieving, distributing and safeguarding information",S2.3
managing information,managing information,S2.3
"managing, gathering and storing digital data",accessing and analysing digital data,S2.3
"managing, gathering and storing digital data","browsing, searching and filtering digital data",S5.5
"managing, gathering and storing digital data",carry out internet research,S5.5
"managing, gathering and storing digital data",conduct search engine optimisation,S5.5
"managing, gathering and storing digital data",create digital files,S5.5
"managing, gathering and storing digital data",digitise documents,S5.5
"managing, gathering and storing digital data","managing, gathering and storing digital data",S5.5
"managing, gathering and storing digital data",perform data cleansing,S5.5
"managing, gathering and storing digital data",use search engines,S5.5
"managing, gathering and storing digital data",use spreadsheet software,S5.5
meet commitments,achieve goals,S5.5
meet commitments,demonstrate commitment,T3.1
meet commitments,demonstrate conscientiousness,T3.1
meet commitments,demonstrate loyalty,T3.1
meet commitments,demonstrate punctuality,T4.5
meet commitments,demonstrate reliability,T3.1
meet commitments,demonstrate steady effort,T3.1
meet commitments,keep promises,T3.1
meet commitments,meet commitment,T3.1
meet commitments,meet commitments,T3.1
meet commitments,meet targets,T3.1
meet commitments,meeting commitments,T3.1
meet commitments,show commitment,T3.1
meet commitments,show conscientiousness,T3.1
meet commitments,show reliability,T3.1
meet commitments,show responsibility,T3.1
meet commitments,work to deadlines,T3.1
meet commitments,meet deadlines,T3.1
memorise information,commit information to memory,T3.1
memorise information,learn information by heart,T2.1
memorise information,memorize facts,T2.1
memorise information,memorize info,T2.1
memorise information,memorize information,T2.1
memorise information,memorize procedures,T2.1
memorise information,memorizing information,T2.1
memorise information,mnemonics principles,T2.1
memorise information,remember information,T2.1
moderate a discussion,apply moderation techniques,T2.1
moderate a discussion,carry out moderation,T4.1
moderate a discussion,guide a discussion,T4.1
moderate a discussion,lead discussions,T4.1
moderate a discussion,moderate conferences,T4.1
moderate a discussion,moderate workshops,T4.1
moderate a discussion,oversee a discussion,T4.1
moderate a discussion,moderate a discussion,T4.1
monitoring and evaluating the performance of individuals,assessment,T4.1
monitoring and evaluating the performance of individuals,assigning work to others,S4.8
monitoring and evaluating the performance of individuals,supervising a team or group,S4.8
monitoring and evaluating the performance of individuals,supervising people,S4.8
monitoring and evaluating the performance of individuals,assign class work to students,S4.8
monitoring and evaluating the performance of individuals,assign duties to employees,S4.8
monitoring and evaluating the performance of individuals,delegate tasks,S4.8
monitoring and evaluating the performance of individuals,evaluate employees work,T4.4
monitoring and evaluating the performance of individuals,lead a team,S4.8
monitoring and evaluating the performance of individuals,manage sales teams,S4.8
monitoring and evaluating the performance of individuals,monitor the quality of work,S4.8
monitoring and evaluating the performance of individuals,monitoring and evaluating the performance of individuals,S4.8
monitoring and evaluating the performance of individuals,perform classroom management,S4.8
monitoring and evaluating the performance of individuals,perform self,S4.8
monitoring and evaluating the performance of individuals,supervise crew,S4.8
monitoring developments in area of expertise,follow trends in sporting equipment,S4.8
monitoring developments in area of expertise,keep up to date with diagnostic innovations,S2.9
monitoring developments in area of expertise,monitor legislation developments,S2.9
monitoring developments in area of expertise,monitor technology trends,S2.9
monitoring developments in area of expertise,"monitoring and keeping knowledge up-to-date concerning new research, methodologies, regulations, policies technological developments and other significant changes relevant to a particular field of specialisation",S2.9
monitoring developments in area of expertise,monitoring developments in area of expertise,S2.9
motivate others,empower others,S2.9
motivate others,encourage others,T4.4
motivate others,energise others,T4.4
motivate others,inspire others,T4.4
motivate others,motivate staff and colleages,T4.4
motivate others,motivating others,T4.4
motivate others,stimulate action,T4.4
motivate others,motivate others,T4.4
move objects,climb,T4.4
move objects,lift things,T5.1
move objects,load and unload good and materials,T5.1
move objects,move and lift objects,T5.1
move objects,perform physical activities,T5.1
move objects,store goods,T5.1
move objects,move objects,T5.1
negotiate compromises,bargain,T5.1
negotiate compromises,bargaining,T4.1
negotiate compromises,defuse conflict,T4.1
negotiate compromises,influence decision-making processes,T4.1
negotiate compromises,manage complaints,T4.1
negotiate compromises,negotiate,T4.1
negotiate compromises,negotiating compromise,T4.1
negotiate compromises,resolve conflict,T4.1
negotiate compromises,seek agreement,T4.1
negotiate compromises,negotiate compromises,T4.1
operate digital hardware,apply ICT peripherals,T4.1
operate digital hardware,carry out practical tasks with smart devices,T1.3
operate digital hardware,computer equipment,T1.3
operate digital hardware,digital equipment,T1.3
operate digital hardware,networking equipment,T1.3
operate digital hardware,operate digital hardware,T1.3
operate digital hardware,use digital devices,T1.3
operate digital hardware,use hardware,T1.3
operate digital hardware,use hardware components,T1.3
operate digital hardware,use ICT hardware,T1.3
operate digital hardware,use ICT peripherals,T1.3
operate digital hardware,use keyboard,T1.3
operate digital hardware,use mouse,T1.3
operate digital hardware,use smart ICT devices,T1.3
operate digital hardware,work with computer hardware and peripherals,T1.3
operate digital hardware,computer hardware,T1.3
operating aircraft,"controlling the movement of aircraft, including fixed wing aircraft, helicopters and drones",T1.3
operating aircraft,drive helicopter under emergency conditions,S8.9
operating aircraft,off and landing,S8.9
operating aircraft,operate cockpit control panels,S8.9
operating aircraft,perform take,S8.9
operating aircraft,operating aircraft,S8.9
"operating cutting, grinding and smoothing machinery",adjust rotogravure press,S8.9
"operating cutting, grinding and smoothing machinery",apply pre,S8.5
"operating cutting, grinding and smoothing machinery",manufacture woven fabrics,S8.5
"operating cutting, grinding and smoothing machinery",operate collating machine,S8.5
"operating cutting, grinding and smoothing machinery",operate drill press,S8.5
"operating cutting, grinding and smoothing machinery",operate fish processing equipment,S8.5
"operating cutting, grinding and smoothing machinery",operate flexographic printing machine,S8.5
"operating cutting, grinding and smoothing machinery",operate table saw,S8.5
"operating cutting, grinding and smoothing machinery","operating cutting, grinding and smoothing machinery",S8.5
"operating cutting, grinding and smoothing machinery",operating food processing machinery,S8.5
"operating cutting, grinding and smoothing machinery","operating machinery for the manufacture and treatment of textiles, fur and leather products",S8.5
"operating cutting, grinding and smoothing machinery",operating machinery for the manufacture of products,S8.5
"operating cutting, grinding and smoothing machinery","operating metal, plastic or rubber forming equipment",S8.5
"operating cutting, grinding and smoothing machinery",operating mixing and separating machinery,S8.5
"operating cutting, grinding and smoothing machinery",operating packaging machinery,S8.5
"operating cutting, grinding and smoothing machinery",operating painting or coating machinery,S8.5
"operating cutting, grinding and smoothing machinery",operating print and photographic production equipment,S8.5
"operating cutting, grinding and smoothing machinery",stitching techniques,S8.5
"operating cutting, grinding and smoothing machinery",tend bakery ovens,S8.5
"operating cutting, grinding and smoothing machinery",tend blanching machines,S8.5
"operating cutting, grinding and smoothing machinery",tend bottle cork machine,S8.5
"operating cutting, grinding and smoothing machinery",tend knitting machine,S8.5
"operating cutting, grinding and smoothing machinery",tend lathe,S8.5
"operating cutting, grinding and smoothing machinery",tend meat packaging machine,S8.5
"operating kilns, furnaces and drying equipment",control gas,S8.5
"operating kilns, furnaces and drying equipment",drive tunnel boring machine,S8.4
"operating kilns, furnaces and drying equipment",fired furnace for malt roasting,S8.4
"operating kilns, furnaces and drying equipment",make paper slurry,S8.4
"operating kilns, furnaces and drying equipment",operate biogas plant,S8.4
"operating kilns, furnaces and drying equipment",operate continuous miner,S8.4
"operating kilns, furnaces and drying equipment",operate core drilling equipment,S8.4
"operating kilns, furnaces and drying equipment",operate distillation equipment,S8.4
"operating kilns, furnaces and drying equipment",operate gas turbines,S8.4
"operating kilns, furnaces and drying equipment",operate hatchery recirculation system,S8.4
"operating kilns, furnaces and drying equipment",operate hydraulic pumps,S8.4
"operating kilns, furnaces and drying equipment",operate latex transfer pump,S8.4
"operating kilns, furnaces and drying equipment",operate pulper,S8.4
"operating kilns, furnaces and drying equipment",operate ship propulsion system,S8.4
"operating kilns, furnaces and drying equipment",operate smelter,S8.4
"operating kilns, furnaces and drying equipment",operate waste incinerator,S8.4
"operating kilns, furnaces and drying equipment",operate wood chipper,S8.4
"operating kilns, furnaces and drying equipment",operating energy production or distribution equipment,S8.4
"operating kilns, furnaces and drying equipment","operating kilns, furnaces and drying equipment",S8.4
"operating kilns, furnaces and drying equipment",operating machinery for the extraction and processing of raw materials,S8.4
"operating kilns, furnaces and drying equipment",operating metal processing and finishing machinery,S8.4
"operating kilns, furnaces and drying equipment","operating mining, drilling and mineral processing machinery",S8.4
"operating kilns, furnaces and drying equipment","operating petroleum, chemical or water processing systems or equipment",S8.4
"operating kilns, furnaces and drying equipment",operating pumping systems or equipment,S8.4
"operating kilns, furnaces and drying equipment",operating wood processing and papermaking machinery,S8.4
"operating kilns, furnaces and drying equipment",prepare kiln firebox,S8.4
"operating kilns, furnaces and drying equipment",tend anodising machine,S8.4
"operating kilns, furnaces and drying equipment",tend hot rolling mill,S8.4
"operating kilns, furnaces and drying equipment",tend stone splitting machine,S8.4
"operating kilns, furnaces and drying equipment",tend thread rolling machine,S8.4
operating lifting or moving equipment,drive steel piles,S8.4
operating lifting or moving equipment,operate agricultural machinery,S8.1
operating lifting or moving equipment,operate bulldozer,S8.1
operating lifting or moving equipment,operate forestry machinery,S8.1
operating lifting or moving equipment,operate front loader,S8.1
operating lifting or moving equipment,operate grader,S8.1
operating lifting or moving equipment,operate tractor,S8.1
operating lifting or moving equipment,operating agricultural or forestry equipment,S8.1
operating lifting or moving equipment,operating earthmoving equipment,S8.1
operating lifting or moving equipment,operating lifting or moving equipment,S8.1
operating lifting or moving equipment,operating mobile plant,S8.1
operating rail vehicles,drive ambulance under emergency conditions,S8.1
operating rail vehicles,drive at high speed,S8.2
operating rail vehicles,drive automatic car,S8.2
operating rail vehicles,drive funicular,S8.2
operating rail vehicles,drive two,S8.2
operating rail vehicles,driving heavy vehicles,S8.2
operating rail vehicles,driving light vehicles,S8.2
operating rail vehicles,driving vehicles,S8.2
operating rail vehicles,manoeuvre bus,S8.2
operating rail vehicles,operate dump truck,S8.2
operating rail vehicles,operating rail vehicles,S8.2
operating rail vehicles,wheeled vehicles,S8.2
operating watercraft,navigate european inland waterways,S8.2
operating watercraft,operate mechanical equipment of ships,S8.3
operating watercraft,operate small craft,S8.3
operating watercraft,"operating and controlling the movement of watercraft and underwater vessels, including ships, boats and other types of vessel",S8.3
operating watercraft,steer vessels,S8.3
operating watercraft,use fishing vessel equipment,S8.3
operating watercraft,operating watercraft,S8.3
"organise information, objects and resources",demonstrate organizational skills,S8.3
"organise information, objects and resources",have organisational skills,T2.2
"organise information, objects and resources",organise resources,T2.2
"organise information, objects and resources",record information,T2.2
"organise information, objects and resources",structure information,T2.2
"organise information, objects and resources",take in information,T2.2
"organise information, objects and resources","organise information, objects and resources",T2.2
packaging objects,marking materials or objects for identification,T2.2
packaging objects,sorting and packaging goods and materials,S6.1
packaging objects,sorting materials or products,S6.1
packaging objects,assign codes to product items,S6.1
packaging objects,change shelf labels,S6.1
packaging objects,differentiate types of packages,S6.1
packaging objects,fill sacks,S6.1
packaging objects,label samples,S6.1
packaging objects,pack merchandise for gifts,S6.1
packaging objects,package fish,S6.1
packaging objects,packaging objects,S6.1
packaging objects,sort waste,S6.1
participate actively in civic life,be involved in civic activities,S6.1
participate actively in civic life,demonstrate active citizenship,T6.3
participate actively in civic life,do neighbouring activity,T6.3
participate actively in civic life,perform community work,T6.3
participate actively in civic life,participate actively in civic life,T6.3
performing general clerical and administrative tasks,executing financial transactions,T6.3
performing general clerical and administrative tasks,performing administrative activities,S4.4
performing general clerical and administrative tasks,issue purchase order,S4.4
performing general clerical and administrative tasks,issue sales invoices,S4.4
performing general clerical and administrative tasks,operate cash register,S4.4
performing general clerical and administrative tasks,perform clerical duties,S4.4
performing general clerical and administrative tasks,performing general clerical and administrative tasks,S4.4
plan,complete planning,S4.4
plan,implement planning,T2.2
plan,manage projects,T2.2
plan,performance planning,T2.2
plan,plan,T2.2
plan,plan activities,T2.2
plan,planning performance,T2.2
plan,undertake planning,T2.2
plan,project management,T2.2
planning production processes,assembly operations,T2.2
planning production processes,directing operational activities,S4.2
planning production processes,"directing, supervising and coordinating projects",S4.2
planning production processes,managing transport and logistics activities,S4.2
planning production processes,"organising, planning and scheduling work and activities",S4.2
planning production processes,planning events and programmes,S4.2
planning production processes,control financial resources,S4.2
planning production processes,coordinate operational activities,S4.3
planning production processes,coordinate rescue missions,S4.2
planning production processes,handle external financing,S4.2
planning production processes,manage ict project,S4.3
planning production processes,manage revenue,S4.2
planning production processes,oversee pre,S4.3
planning production processes,planning production processes,S4.2
planning production processes,supervise advocacy work,S4.2
"planting, pruning and harvesting trees, crops and other plants",cultivating land and crops,S4.2
"planting, pruning and harvesting trees, crops and other plants",tending plants and crops,S6.4
"planting, pruning and harvesting trees, crops and other plants",irrigate soil,S6.4
"planting, pruning and harvesting trees, crops and other plants",maintain plants' growth,S6.4
"planting, pruning and harvesting trees, crops and other plants",plant trees,S6.4
"planting, pruning and harvesting trees, crops and other plants","planting, pruning and harvesting trees, crops and other plants",S6.4
"planting, pruning and harvesting trees, crops and other plants",prepare planting area,S6.4
"planting, pruning and harvesting trees, crops and other plants",propagate plants,S6.4
"planting, pruning and harvesting trees, crops and other plants",seed the ground,S6.4
"planting, pruning and harvesting trees, crops and other plants",spread fertiliser,S6.4
"positioning materials, tools or equipment","loading and unloading goods and, materials",S6.4
"positioning materials, tools or equipment",moving and lifting,S6.2
"positioning materials, tools or equipment","moving or lifting materials, equipment, or supplies",S6.2
"positioning materials, tools or equipment",storing goods and materials,S6.2
"positioning materials, tools or equipment","positioning materials, tools or equipment",S6.2
presenting information in legal proceedings,presenting general information,S6.2
presenting information in legal proceedings,presenting information,S1.4
presenting information in legal proceedings,presenting research or technical information,S1.4
presenting information in legal proceedings,deliver presentations on tourism,S1.4
presenting information in legal proceedings,deliver visual presentation of data,S1.4
presenting information in legal proceedings,give live presentation,S1.4
presenting information in legal proceedings,perform lectures,S1.4
presenting information in legal proceedings,present detailed design proposal,S1.4
presenting information in legal proceedings,present evidence,S1.4
presenting information in legal proceedings,present legislation proposal,S1.4
presenting information in legal proceedings,present reports,S1.4
presenting information in legal proceedings,presenting information in legal proceedings,S1.4
presenting information in legal proceedings,represent clients in court,S1.4
